discharge 1300mAh 
00:04:45,1,1,1970|DIS|PWM: 0|Batt: 1.411|Load: 0.928|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.961|Bavg: 1.416
00:04:53,1,1,1970|DIS|PWM: 0|Batt: 1.416|Load: 1.060|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.415
00:05:01,1,1,1970|DIS|PWM: 0|Batt: 1.406|Load: 1.060|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.414
00:05:09,1,1,1970|DIS|PWM: 0|Batt: 1.411|Load: 1.104|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.414
00:05:16,1,1,1970|DIS|PWM: 0|Batt: 1.411|Load: 1.069|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.413
00:05:24,1,1,1970|DIS|PWM: 0|Batt: 1.411|Load: 1.113|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.412
00:05:32,1,1,1970|DIS|PWM: 0|Batt: 1.411|Load: 1.118|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.412
00:05:39,1,1,1970|DIS|PWM: 0|Batt: 1.411|Load: 0.972|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.411
00:05:47,1,1,1970|DIS|PWM: 0|Batt: 1.406|Load: 1.450|diff: -1.751|Iset: 2.000|Ichg: 0.249|Idis: 4.995|Bavg: 1.411
00:05:55,1,1,1970|DIS|PWM: 0|Batt: 1.406|Load: 1.030|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.956|Bavg: 1.409
00:06:03,1,1,1970|DIS|PWM: 0|Batt: 1.411|Load: 1.011|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.961|Bavg: 1.410
00:06:10,1,1,1970|DIS|PWM: 0|Batt: 1.406|Load: 1.021|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.888|Bavg: 1.409
00:06:18,1,1,1970|DIS|PWM: 0|Batt: 1.406|Load: 1.016|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.946|Bavg: 1.409
00:06:26,1,1,1970|DIS|PWM: 0|Batt: 1.406|Load: 1.011|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.971|Bavg: 1.408
00:06:34,1,1,1970|DIS|PWM: 0|Batt: 1.401|Load: 1.045|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.407
00:06:41,1,1,1970|DIS|PWM: 0|Batt: 1.401|Load: 1.060|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.406
00:06:49,1,1,1970|DIS|PWM: 0|Batt: 1.396|Load: 1.055|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.404
00:06:57,1,1,1970|DIS|PWM: 0|Batt: 1.401|Load: 1.064|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.404
00:07:04,1,1,1970|DIS|PWM: 0|Batt: 1.396|Load: 1.060|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.402
00:07:12,1,1,1970|DIS|PWM: 0|Batt: 1.401|Load: 1.064|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.401
00:07:20,1,1,1970|DIS|PWM: 0|Batt: 1.401|Load: 1.064|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.401
00:07:28,1,1,1970|DIS|PWM: 0|Batt: 1.401|Load: 1.060|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.400
00:07:35,1,1,1970|DIS|PWM: 0|Batt: 1.396|Load: 1.060|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.400
00:07:43,1,1,1970|DIS|PWM: 0|Batt: 1.396|Load: 1.069|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.399
00:07:51,1,1,1970|DIS|PWM: 0|Batt: 1.392|Load: 1.074|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.398
00:07:58,1,1,1970|DIS|PWM: 0|Batt: 1.396|Load: 1.069|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.398
00:08:06,1,1,1970|DIS|PWM: 0|Batt: 1.396|Load: 1.079|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.398
00:08:14,1,1,1970|DIS|PWM: 0|Batt: 1.392|Load: 1.079|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.635|Bavg: 1.396
00:08:22,1,1,1970|DIS|PWM: 0|Batt: 1.392|Load: 1.089|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.395
00:08:29,1,1,1970|DIS|PWM: 0|Batt: 1.396|Load: 1.089|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 4.995|Bavg: 1.395
00:08:37,1,1,1970|DIS|PWM: 0|Batt: 1.392|Load: 1.108|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.542|Bavg: 1.394
00:08:45,1,1,1970|DIS|PWM: 0|Batt: 1.392|Load: 1.104|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.522|Bavg: 1.393
00:08:52,1,1,1970|DIS|PWM: 0|Batt: 1.392|Load: 1.099|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.532|Bavg: 1.393
00:09:00,1,1,1970|DIS|PWM: 0|Batt: 1.396|Load: 1.104|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.532|Bavg: 1.393
00:09:08,1,1,1970|DIS|PWM: 0|Batt: 1.392|Load: 1.089|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.532|Bavg: 1.393
00:09:16,1,1,1970|DIS|PWM: 0|Batt: 1.387|Load: 1.089|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.532|Bavg: 1.392
00:09:23,1,1,1970|DIS|PWM: 0|Batt: 1.396|Load: 1.089|diff: -2.000|Iset: 2.000|Ichg: 0.000|Idis: 0.527|Bavg: 1.393
