charge 1300mAh 
PWM: 1
PWM: 2
PWM: 3
START
00:04:54,1,1,1970|CHG|PWM: 20|Batt: 1.357|Load: 1.738|diff: -0.018|Iset: 2.000|Ichg: 1.982|Idis: 2.314|Bavg: 1.352
00:05:02,1,1,1970|CHG|PWM: 20|Batt: 1.353|Load: 1.577|diff: 0.017|Iset: 2.000|Ichg: 2.017|Idis: 2.290|Bavg: 1.353
00:05:10,1,1,1970|CHG|PWM: 20|Batt: 1.353|Load: 1.582|diff: -0.027|Iset: 2.000|Ichg: 1.973|Idis: 2.280|Bavg: 1.353
00:05:18,1,1,1970|CHG|PWM: 21|Batt: 1.353|Load: 1.812|diff: 0.041|Iset: 2.000|Ichg: 2.041|Idis: 2.290|Bavg: 1.353
00:05:26,1,1,1970|CHG|PWM: 21|Batt: 1.353|Load: 1.816|diff: 0.109|Iset: 2.000|Ichg: 2.109|Idis: 2.295|Bavg: 1.353
00:05:34,1,1,1970|CHG|PWM: 22|Batt: 1.353|Load: 1.709|diff: 0.026|Iset: 2.000|Ichg: 2.026|Idis: 2.324|Bavg: 1.353
00:05:42,1,1,1970|CHG|PWM: 21|Batt: 1.357|Load: 1.597|diff: 0.114|Iset: 2.000|Ichg: 2.114|Idis: 2.319|Bavg: 1.354
00:05:50,1,1,1970|CHG|PWM: 21|Batt: 1.357|Load: 1.587|diff: -0.027|Iset: 2.000|Ichg: 1.973|Idis: 2.285|Bavg: 1.354
00:05:58,1,1,1970|CHG|PWM: 22|Batt: 1.353|Load: 1.699|diff: -0.105|Iset: 2.000|Ichg: 1.895|Idis: 2.319|Bavg: 1.354
00:06:06,1,1,1970|CHG|PWM: 22|Batt: 1.357|Load: 1.709|diff: 0.007|Iset: 2.000|Ichg: 2.007|Idis: 2.324|Bavg: 1.354
00:06:14,1,1,1970|CHG|PWM: 22|Batt: 1.357|Load: 1.714|diff: -0.013|Iset: 2.000|Ichg: 1.987|Idis: 2.324|Bavg: 1.355
00:06:22,1,1,1970|CHG|PWM: 22|Batt: 1.357|Load: 1.602|diff: 0.065|Iset: 2.000|Ichg: 2.065|Idis: 2.305|Bavg: 1.356
00:06:30,1,1,1970|CHG|PWM: 22|Batt: 1.357|Load: 1.709|diff: -0.027|Iset: 2.000|Ichg: 1.973|Idis: 2.324|Bavg: 1.356
00:06:38,1,1,1970|CHG|PWM: 22|Batt: 1.357|Load: 1.714|diff: -0.027|Iset: 2.000|Ichg: 1.973|Idis: 2.329|Bavg: 1.357
00:06:46,1,1,1970|CHG|PWM: 22|Batt: 1.357|Load: 1.719|diff: -0.013|Iset: 2.000|Ichg: 1.987|Idis: 2.334|Bavg: 1.357
00:06:53,1,1,1970|CHG|PWM: 22|Batt: 1.362|Load: 1.826|diff: 0.031|Iset: 2.000|Ichg: 2.031|Idis: 2.295|Bavg: 1.357
00:07:01,1,1,1970|CHG|PWM: 23|Batt: 1.357|Load: 1.782|diff: 0.090|Iset: 2.000|Ichg: 2.090|Idis: 2.354|Bavg: 1.358
00:07:09,1,1,1970|CHG|PWM: 24|Batt: 1.362|Load: 1.592|diff: -0.110|Iset: 2.000|Ichg: 1.890|Idis: 2.300|Bavg: 1.359
00:07:17,1,1,1970|CHG|PWM: 24|Batt: 1.362|Load: 1.714|diff: -0.120|Iset: 2.000|Ichg: 1.880|Idis: 2.329|Bavg: 1.359
00:07:25,1,1,1970|CHG|PWM: 22|Batt: 1.357|Load: 1.772|diff: 0.046|Iset: 2.000|Ichg: 2.046|Idis: 2.349|Bavg: 1.359
00:07:33,1,1,1970|CHG|PWM: 23|Batt: 1.362|Load: 1.782|diff: 0.100|Iset: 2.000|Ichg: 2.100|Idis: 2.358|Bavg: 1.360
00:07:41,1,1,1970|CHG|PWM: 23|Batt: 1.362|Load: 1.719|diff: 0.012|Iset: 2.000|Ichg: 2.012|Idis: 2.324|Bavg: 1.360
00:07:49,1,1,1970|CHG|PWM: 23|Batt: 1.362|Load: 1.826|diff: 0.080|Iset: 2.000|Ichg: 2.080|Idis: 2.300|Bavg: 1.361
00:07:57,1,1,1970|CHG|PWM: 23|Batt: 1.362|Load: 1.782|diff: 0.075|Iset: 2.000|Ichg: 2.075|Idis: 2.358|Bavg: 1.361
00:08:05,1,1,1970|CHG|PWM: 23|Batt: 1.362|Load: 1.606|diff: 0.031|Iset: 2.000|Ichg: 2.031|Idis: 2.324|Bavg: 1.362
