charge 1300mAh 
1
2
3
START
00:00:08;CHG;5;1,328;1,387;-1,551;2,000;0,449;1,968;1,328
00:00:16;CHG;13;1,328;1,465;-0,931;2,000;1,069;2,090;1,328
00:00:24;CHG;20;1,333;1,650;-0,125;2,000;1,875;2,256;1,329
00:00:31;CHG;21;1,333;1,772;0,056;2,000;2,056;2,246;1,329
00:00:39;CHG;20;1,328;1,558;-0,018;2,000;1,982;2,241;1,329
00:00:47;CHG;20;1,338;1,553;-0,047;2,000;1,953;2,246;1,331
00:00:55;CHG;20;1,343;1,562;0,041;2,000;2,041;2,261;1,332
00:01:03;CHG;20;1,333;1,558;0,026;2,000;2,026;2,266;1,333
00:01:11;CHG;20;1,333;1,567;0,085;2,000;2,085;2,271;1,334
00:01:19;CHG;19;1,338;1,719;0,026;2,000;2,026;2,280;1,335
00:01:27;CHG;19;1,338;1,714;0,007;2,000;2,007;2,275;1,335
00:01:35;CHG;19;1,338;1,719;-0,013;2,000;1,987;2,280;1,336
00:01:43;CHG;19;1,343;1,562;0,041;2,000;2,041;2,266;1,338
00:01:51;CHG;19;1,338;1,724;0,017;2,000;2,017;2,285;1,338
00:01:59;CHG;19;1,343;1,665;-0,022;2,000;1,978;2,275;1,338
00:02:07;CHG;19;1,343;1,782;0,051;2,000;2,051;2,261;1,339
00:02:15;CHG;19;1,343;1,567;0,070;2,000;2,070;2,271;1,340
00:02:23;CHG;19;1,343;1,777;-0,008;2,000;1,992;2,256;1,341
00:02:31;CHG;19;1,343;1,577;0,051;2,000;2,051;2,275;1,342
00:02:39;CHG;19;1,348;1,572;0,056;2,000;2,056;2,275;1,343
00:02:47;CHG;19;1,348;1,670;-0,027;2,000;1,973;2,285;1,343
00:02:55;CHG;19;1,348;1,675;-0,047;2,000;1,953;2,280;1,345
00:03:03;CHG;19;1,343;1,577;0,061;2,000;2,061;2,271;1,345
00:03:11;CHG;18;1,343;1,777;0,031;2,000;2,031;2,261;1,345
00:03:19;CHG;19;1,348;1,680;0,007;2,000;2,007;2,300;1,345
