00:09:48;CHG;19;1,323;1,567;0,065;2,000;2,065
00:09:55;CHG;19;1,318;1,665;-0,091;2,000;1,909
00:10:02;CHG;18;1,318;1,562;-0,032;2,000;1,968
00:10:09;CHG;18;1,323;1,650;-0,164;2,000;1,836
00:10:15;CHG;19;1,333;1,572;0,061;2,000;2,061
00:10:22;CHG;19;1,318;1,665;-0,091;2,000;1,909
00:10:29;CHG;19;1,328;1,665;-0,086;2,000;1,914
00:10:36;CHG;19;1,323;1,665;-0,091;2,000;1,909
00:10:43;CHG;19;1,323;1,670;-0,003;2,000;1,997
00:10:49;CHG;18;1,318;1,655;-0,174;2,000;1,826
00:10:56;CHG;19;1,323;1,680;-0,003;2,000;1,997
00:11:03;CHG;18;1,323;1,562;-0,032;2,000;1,968
00:11:10;CHG;19;1,323;1,572;0,046;2,000;2,046
00:11:16;CHG;18;1,333;1,567;-0,032;2,000;1,968
00:11:23;CHG;19;1,328;1,699;0,144;2,000;2,144
00:11:30;CHG;19;1,328;1,680;-0,091;2,000;1,909
00:11:37;CHG;18;1,328;1,655;-0,169;2,000;1,831
00:11:43;CHG;18;1,323;1,665;-0,086;2,000;1,914
00:11:50;CHG;18;1,338;1,670;-0,081;2,000;1,919
00:11:57;CHG;18;1,328;1,665;-0,164;2,000;1,836
00:12:04;CHG;18;1,333;1,567;-0,018;2,000;1,982
00:12:11;CHG;18;1,328;1,567;-0,027;2,000;1,973
00:12:17;CHG;19;1,328;1,680;-0,003;2,000;1,997
00:12:24;CHG;18;1,333;1,567;-0,032;2,000;1,968
00:12:31;CHG;19;1,328;1,680;0,007;2,000;2,007
00:12:38;CHG;18;1,328;1,567;-0,037;2,000;1,963
00:12:44;CHG;19;1,333;1,582;0,065;2,000;2,065
00:12:51;CHG;18;1,333;1,665;-0,086;2,000;1,914
00:12:58;CHG;19;1,328;1,582;0,056;2,000;2,056
00:13:05;CHG;19;1,328;1,675;0,007;2,000;2,007
00:13:11;CHG;19;1,333;1,680;-0,003;2,000;1,997
00:13:18;CHG;18;1,333;1,577;-0,018;2,000;1,982
00:13:25;CHG;18;1,333;1,660;-0,169;2,000;1,831
00:13:32;CHG;19;1,333;1,675;-0,086;2,000;1,914
00:13:39;CHG;19;1,333;1,689;0,017;2,000;2,017
00:13:45;CHG;18;1,333;1,660;-0,169;2,000;1,831
00:13:52;CHG;18;1,333;1,675;-0,086;2,000;1,914
00:13:59;CHG;19;1,328;1,680;-0,003;2,000;1,997
00:14:06;CHG;19;1,333;1,577;0,046;2,000;2,046
00:14:12;CHG;18;1,333;1,572;-0,018;2,000;1,982
00:14:19;CHG;19;1,333;1,685;0,002;2,000;2,002
00:14:26;CHG;18;1,333;1,665;-0,174;2,000;1,826
00:14:33;CHG;18;1,333;1,660;-0,169;2,000;1,831
00:14:39;CHG;19;1,333;1,685;-0,013;2,000;1,987
00:14:46;CHG;20;1,333;1,689;-0,022;2,000;1,978
00:14:53;CHG;18;1,333;1,572;-0,037;2,000;1,963
00:15:00;CHG;19;1,343;1,592;0,046;2,000;2,046
00:15:07;CHG;19;1,338;1,675;-0,096;2,000;1,904
00:15:13;CHG;19;1,338;1,685;-0,003;2,000;1,997
