00:05:38,1,1,1970|CHG|PWM: 18|Batt: 1.304|Load: 1.548|diff: -0.003|ISet: 2.000|I: 1.997
00:05:45,1,1,1970|CHG|PWM: 18|Batt: 1.304|Load: 1.548|diff: -0.013|ISet: 2.000|I: 1.987
00:05:52,1,1,1970|CHG|PWM: 18|Batt: 1.304|Load: 1.553|diff: -0.003|ISet: 2.000|I: 1.997
00:05:58,1,1,1970|CHG|PWM: 19|Batt: 1.309|Load: 1.665|diff: 0.017|ISet: 2.000|I: 2.017
00:06:05,1,1,1970|CHG|PWM: 19|Batt: 1.309|Load: 1.660|diff: -0.066|ISet: 2.000|I: 1.934
00:06:12,1,1,1970|CHG|PWM: 18|Batt: 1.309|Load: 1.655|diff: -0.062|ISet: 2.000|I: 1.938
00:06:19,1,1,1970|CHG|PWM: 18|Batt: 1.309|Load: 1.553|diff: -0.003|ISet: 2.000|I: 1.997
00:06:25,1,1,1970|CHG|PWM: 18|Batt: 1.309|Load: 1.655|diff: -0.062|ISet: 2.000|I: 1.938
00:06:32,1,1,1970|CHG|PWM: 19|Batt: 1.313|Load: 1.567|diff: 0.080|ISet: 2.000|I: 2.080
00:06:39,1,1,1970|CHG|PWM: 18|Batt: 1.309|Load: 1.553|diff: -0.003|ISet: 2.000|I: 1.997
00:06:46,1,1,1970|CHG|PWM: 18|Batt: 1.309|Load: 1.646|diff: -0.149|ISet: 2.000|I: 1.851
00:06:52,1,1,1970|CHG|PWM: 19|Batt: 1.323|Load: 1.665|diff: 0.017|ISet: 2.000|I: 2.017
00:06:59,1,1,1970|CHG|PWM: 19|Batt: 1.313|Load: 1.567|diff: 0.085|ISet: 2.000|I: 2.085
00:07:06,1,1,1970|CHG|PWM: 19|Batt: 1.313|Load: 1.670|diff: 0.017|ISet: 2.000|I: 2.017
00:07:13,1,1,1970|CHG|PWM: 18|Batt: 1.313|Load: 1.660|diff: -0.062|ISet: 2.000|I: 1.938
00:07:20,1,1,1970|CHG|PWM: 18|Batt: 1.309|Load: 1.650|diff: -0.066|ISet: 2.000|I: 1.934
00:07:26,1,1,1970|CHG|PWM: 19|Batt: 1.313|Load: 1.567|diff: 0.070|ISet: 2.000|I: 2.070
00:07:33,1,1,1970|CHG|PWM: 18|Batt: 1.318|Load: 1.558|diff: -0.003|ISet: 2.000|I: 1.997
00:07:40,1,1,1970|CHG|PWM: 18|Batt: 1.313|Load: 1.558|diff: 0.002|ISet: 2.000|I: 2.002
00:07:47,1,1,1970|CHG|PWM: 18|Batt: 1.313|Load: 1.646|diff: -0.154|ISet: 2.000|I: 1.846
00:07:53,1,1,1970|CHG|PWM: 19|Batt: 1.313|Load: 1.567|diff: 0.065|ISet: 2.000|I: 2.065
00:08:00,1,1,1970|CHG|PWM: 19|Batt: 1.313|Load: 1.689|diff: 0.158|ISet: 2.000|I: 2.158
00:08:07,1,1,1970|CHG|PWM: 19|Batt: 1.313|Load: 1.567|diff: 0.065|ISet: 2.000|I: 2.065
00:08:14,1,1,1970|CHG|PWM: 18|Batt: 1.313|Load: 1.553|diff: -0.022|ISet: 2.000|I: 1.978
00:08:20,1,1,1970|CHG|PWM: 18|Batt: 1.318|Load: 1.650|diff: -0.159|ISet: 2.000|I: 1.841
00:08:27,1,1,1970|CHG|PWM: 19|Batt: 1.318|Load: 1.567|diff: 0.065|ISet: 2.000|I: 2.065
00:08:34,1,1,1970|CHG|PWM: 18|Batt: 1.318|Load: 1.558|diff: -0.013|ISet: 2.000|I: 1.987
00:08:41,1,1,1970|CHG|PWM: 19|Batt: 1.313|Load: 1.655|diff: -0.086|ISet: 2.000|I: 1.914
00:08:48,1,1,1970|CHG|PWM: 18|Batt: 1.313|Load: 1.660|diff: -0.076|ISet: 2.000|I: 1.924
00:08:54,1,1,1970|CHG|PWM: 19|Batt: 1.323|Load: 1.567|diff: 0.065|ISet: 2.000|I: 2.065
00:09:01,1,1,1970|CHG|PWM: 19|Batt: 1.323|Load: 1.660|diff: -0.086|ISet: 2.000|I: 1.914
00:09:08,1,1,1970|CHG|PWM: 18|Batt: 1.313|Load: 1.562|diff: -0.032|ISet: 2.000|I: 1.968
00:09:15,1,1,1970|CHG|PWM: 18|Batt: 1.318|Load: 1.655|diff: -0.164|ISet: 2.000|I: 1.836
00:09:21,1,1,1970|CHG|PWM: 19|Batt: 1.318|Load: 1.572|diff: 0.061|ISet: 2.000|I: 2.061
00:09:28,1,1,1970|CHG|PWM: 18|Batt: 1.318|Load: 1.558|diff: -0.032|ISet: 2.000|I: 1.968
00:09:35,1,1,1970|CHG|PWM: 19|Batt: 1.323|Load: 1.694|diff: 0.148|ISet: 2.000|I: 2.148
00:09:42,1,1,1970|CHG|PWM: 18|Batt: 1.318|Load: 1.655|diff: -0.076|ISet: 2.000|I: 1.924
00:09:48,1,1,1970|CHG|PWM: 19|Batt: 1.323|Load: 1.567|diff: 0.065|ISet: 2.000|I: 2.065
00:09:55,1,1,1970|CHG|PWM: 19|Batt: 1.318|Load: 1.665|diff: -0.091|ISet: 2.000|I: 1.909
00:10:02,1,1,1970|CHG|PWM: 18|Batt: 1.318|Load: 1.562|diff: -0.032|ISet: 2.000|I: 1.968
00:10:09,1,1,1970|CHG|PWM: 18|Batt: 1.323|Load: 1.650|diff: -0.164|ISet: 2.000|I: 1.836
00:10:15,1,1,1970|CHG|PWM: 19|Batt: 1.333|Load: 1.572|diff: 0.061|ISet: 2.000|I: 2.061
00:10:22,1,1,1970|CHG|PWM: 19|Batt: 1.318|Load: 1.665|diff: -0.091|ISet: 2.000|I: 1.909
00:10:29,1,1,1970|CHG|PWM: 19|Batt: 1.328|Load: 1.665|diff: -0.086|ISet: 2.000|I: 1.914
00:10:36,1,1,1970|CHG|PWM: 19|Batt: 1.323|Load: 1.665|diff: -0.091|ISet: 2.000|I: 1.909
00:10:43,1,1,1970|CHG|PWM: 19|Batt: 1.323|Load: 1.670|diff: -0.003|ISet: 2.000|I: 1.997
00:10:49,1,1,1970|CHG|PWM: 18|Batt: 1.318|Load: 1.655|diff: -0.174|ISet: 2.000|I: 1.826
00:10:56,1,1,1970|CHG|PWM: 19|Batt: 1.323|Load: 1.680|diff: -0.003|ISet: 2.000|I: 1.997
00:11:03,1,1,1970|CHG|PWM: 18|Batt: 1.323|Load: 1.562|diff: -0.032|ISet: 2.000|I: 1.968
00:11:10,1,1,1970|CHG|PWM: 19|Batt: 1.323|Load: 1.572|diff: 0.046|ISet: 2.000|I: 2.046
00:11:16,1,1,1970|CHG|PWM: 18|Batt: 1.333|Load: 1.567|diff: -0.032|ISet: 2.000|I: 1.968
